58,738
51,732
50,725
54,720
58,718
59,716
58,713
54,711
57,699
76,677
103,656
128,643
237,631
284,618
290,611
288,605
279,591
276,583
276,556
272,542
237,466
222,396
223,377
225,374
225,370
221,362
217,346
221,251
225,239
228,238
230,236
231,231
228,204
230,187
237,176
238,170
236,164
223,142
223,132
230,126
250,124
254,121
255,115
251,87
257,83
269,91
306,133
317,141
319,137
302,104
300,96
302,92
309,91
314,93
330,109
357,149
360,151
343,67
344,50
354,60
398,154
402,158
410,160
420,174
432,199
465,294
479,325
532,497
568,497
651,486
666,488
746,512
750,517
744,522
718,526
575,585
531,617
444,665
435,672
431,678
419,687
392,692
356,693
294,686
274,688
158,737
123,747
95,750
70,744
