324,187
296,187
289,188
271,195
251,198
224,198
222,199
222,201
224,207
230,217
230,219
232,224
235,228
247,235
267,240
276,244
281,250
282,253
282,294
277,315
252,377
250,381
250,389
249,394
246,396
241,396
235,394
213,383
194,378
180,376
166,376
160,378
155,381
151,385
150,389
150,393
151,398
153,402
165,418
167,424
168,437
166,451
167,465
169,469
186,488
200,499
205,501
208,501
213,496
214,492
214,488
203,476
199,473
194,465
190,430
190,415
192,415
195,416
204,422
207,423
217,429
223,431
254,449
308,470
431,501
460,512
467,516
473,521
477,527
486,547
496,560
509,571
562,603
573,613
591,636
600,657
607,711
614,721
641,748
646,750
648,747
650,742
648,730
646,725
635,715
631,709
624,681
624,659
625,652
625,638
620,624
585,579
578,565
574,550
573,534
576,518
584,495
584,488
580,471
581,467
585,463
597,460
602,460
606,459
611,459
615,458
623,454
626,451
631,441
631,430
629,425
620,410
619,410
619,409
618,409
618,408
617,408
617,407
615,407
616,408
616,414
615,418
615,422
614,426
612,430
593,443
579,449
570,449
555,443
536,430
529,427
524,426
520,426
512,424
509,424
478,417
428,397
399,380
383,367
371,352
362,336
355,319
351,301
349,282
351,234
350,229
350,214
351,210
353,206
354,205
355,205
357,204
360,204
362,203
364,203
374,191
375,188
377,186
378,179
376,177
372,177
367,179
356,188
357,189
355,187
356,176
362,155
379,119
380,113
379,109
376,107
373,108
371,111
367,126
364,129
361,129
357,127
348,118
341,106
338,93
342,78
338,73
335,73
332,74
330,77
329,82
329,88
331,96
331,100
330,103
328,105
324,105
320,101
314,86
309,52
306,50
303,52
301,65
303,99
302,103
301,102
299,101
290,92
285,85
280,72
278,72
277,73
276,76
272,83
272,89
284,104
329,131
332,132
345,144
347,150
347,154
349,160
349,163
346,172
342,176
339,177
333,183
332,185
332,188
