147,83
156,99
165,88
167,88
167,106
183,96
185,104
183,106
186,106
191,99
200,101
203,99
204,105
221,105
239,72
263,91
284,141
322,191
321,197
330,211
349,257
375,277
431,288
444,299
519,309
581,304
609,290
629,271
630,272
635,268
637,269
680,200
706,182
724,178
728,201
720,221
728,227
705,266
714,277
704,305
695,308
695,312
704,317
678,356
675,375
697,411
689,410
695,430
693,430
693,429
691,429
691,428
696,443
726,479
747,530
746,537
736,533
737,544
738,544
738,546
732,549
749,607
742,607
750,625
747,631
732,614
738,638
732,639
735,642
734,646
723,641
728,665
714,663
713,667
717,674
706,682
695,700
636,693
625,682
632,658
630,649
626,650
625,654
622,655
620,647
613,648
613,632
610,634
609,643
595,622
590,627
588,626
584,611
578,648
572,653
519,660
510,656
509,650
508,652
494,653
491,648
498,623
494,614
486,631
477,631
474,628
467,641
452,636
450,643
445,643
436,636
432,640
417,633
413,636
415,638
410,656
400,646
396,663
392,660
380,675
373,674
373,690
360,713
358,727
339,746
326,750
277,745
263,736
261,728
277,698
273,682
254,693
212,693
188,681
184,683
186,664
196,649
206,649
217,638
215,587
214,587
214,596
212,597
203,575
199,584
194,580
195,557
183,567
188,543
176,550
182,527
179,527
179,530
177,531
174,528
176,519
156,501
163,475
160,474
157,477
155,475
157,450
172,416
165,376
157,366
149,369
130,356
131,367
126,375
121,363
118,378
115,378
110,372
109,378
106,377
102,367
97,368
68,335
66,335
61,344
59,344
50,317
55,281
83,239
83,235
82,235
89,229
79,226
87,212
74,215
74,211
75,211
75,208
66,212
65,205
74,191
71,187
78,177
77,175
71,175
78,163
86,158
82,154
89,150
79,147
99,132
96,130
97,127
106,123
97,77
103,50
